,RESPONSE,LABEL
324,keadaan ini merupakan pengecualian dan kehidupan orang orang travina dipertaruhkan,0
325,bagaimana menyesuaikan diri dengan lingkungan baru,1
326,bagaimana jika para pengungsi pindah dari travina dan akan terjadi lagi,0
327,tantangan terpenting adalah beradaptasi,1
328,dipaksa,0
329,apa satu,0
330,menyesuaikan,1
331,pengungsi iklim adalah orang orang yang dipaksa meninggalkan komunitas atau negara mereka karena bencana lingkungan,0
332,minta untuk bertanggung jawab,0
333,sulit untuk beradaptasi,1
334,mereka akan memulai kehidupan baru mereka akan meninggalkan tanah air mereka,1
